# RMRT reduced dynamics serialized by upper-triangular density-matrix entries
# diagonal entries: p_i = real(σ[i,i])
# off-diagonal entries for i<j: c_ij = σ[i,j], with real, imag, abs, phase
# derivative columns use prefix p -> prime: trp, dp, cp

---- RMRT reduced dynamics: serialized upper-triangular matrix [exciton basis] ----
          time              tr_re              tr_im                 p1                 p2             c12_re             c12_im            c12_abs          c12_phase             trp_re             trp_im                dp1                dp2            cp12_re            cp12_im           cp12_abs         cp12_phase
      0.000000     1.00000000e+00     0.00000000e+00     1.46446609e-01     8.53553391e-01    -3.53553391e-01     0.00000000e+00     3.53553391e-01     3.14159265e+00     0.00000000e+00     0.00000000e+00     0.00000000e+00     0.00000000e+00     0.00000000e+00    -5.00000000e-01     5.00000000e-01    -1.57079633e+00
      0.010000     1.00000000e+00     0.00000000e+00     1.46446609e-01     8.53553391e-01    -3.53518036e-01    -4.99983333e-03     3.53553391e-01    -3.12745052e+00     0.00000000e+00     0.00000000e+00    -1.26965861e-05     1.26965861e-05     7.08352870e-03    -4.99778583e-01     4.99828779e-01    -1.55662394e+00
      0.020000     1.00000000e+00     0.00000000e+00     1.46446499e-01     8.53553501e-01    -3.53411887e-01    -9.99562917e-03     3.53553213e-01    -3.11331696e+00     3.46944695e-18     0.00000000e+00     2.37283648e-05    -2.37283648e-05     1.41122260e-02    -4.99118279e-01     4.99317746e-01    -1.54252955e+00
      0.030000     1.00000000e+00     0.00000000e+00     1.46446794e-01     8.53553206e-01    -3.53235544e-01    -1.49834676e-02     3.53553184e-01    -3.09920029e+00     0.00000000e+00     0.00000000e+00     1.50784019e-04    -1.50784019e-04     2.10390391e-02    -4.98031605e-01     4.98475798e-01    -1.52857704e+00
      0.040000     1.00000000e+00     0.00000000e+00     1.46448422e-01     8.53551578e-01    -3.52990080e-01    -1.99591339e-02     3.53553904e-01    -3.08510975e+00     6.93889390e-18     0.00000000e+00     3.96362913e-04    -3.96362913e-04     2.78301149e-02    -4.96537905e-01     4.97317209e-01    -1.51480659e+00
      0.050000     1.00000000e+00     0.00000000e+00     1.46452587e-01     8.53547413e-01    -3.52676897e-01    -2.49186231e-02     3.53556122e-01    -3.07105421e+00     0.00000000e+00     0.00000000e+00     7.71689511e-04    -7.71689511e-04     3.44685652e-02    -4.94661018e-01     4.95860469e-01    -1.50122759e+00
      0.060000     1.00000000e+00     0.00000000e+00     1.46460602e-01     8.53539398e-01    -3.52297565e-01    -2.98581779e-02     3.53560582e-01    -3.05704199e+00     0.00000000e+00     0.00000000e+00     1.27181034e-03    -1.27181034e-03     4.09540298e-02    -4.92426663e-01     4.94126756e-01    -1.48781951e+00
      0.070000     1.00000000e+00     0.00000000e+00     1.46473728e-01     8.53526272e-01    -3.51853651e-01    -3.47742999e-02     3.53567877e-01    -3.04308085e+00    -1.38777878e-17     0.00000000e+00     1.87939987e-03    -1.87939987e-03     4.72988867e-02    -4.89860050e-01     4.92138246e-01    -1.47453881e+00
      0.080000     1.00000000e+00     0.00000000e+00     1.46493051e-01     8.53506949e-01    -3.51346595e-01    -3.96637378e-02     3.53578340e-01    -3.02917796e+00     0.00000000e+00     0.00000000e+00     2.57090167e-03    -2.57090167e-03     5.35220943e-02    -4.86984119e-01     4.89916469e-01    -1.46133045e+00
      0.090000     1.00000000e+00     0.00000000e+00     1.46519417e-01     8.53480583e-01    -3.50777644e-01    -4.45234600e-02     3.53591988e-01    -3.01533990e+00     1.38777878e-17     0.00000000e+00     3.32351564e-03    -3.32351564e-03     5.96421653e-02    -4.83818615e-01     4.87480913e-01    -1.44814132e+00
