time C1_re C1_im C2_re C2_im
0.0 1.0700354457212091 -0.2 1.0700354457212091 -0.2
0.01 0.7254249151570848 -0.19800996674983362 0.7254249151570848 -0.19800996674983362
0.02 0.6333865322560354 -0.19603973466135105 0.6333865322560354 -0.19603973466135105
0.03 0.5825123120943139 -0.19408910670970164 0.5825123120943139 -0.19408910670970164
0.04 0.5461726036923067 -0.19215788783046464 0.5461726036923067 -0.19215788783046464
0.05 0.5178736941274172 -0.19024588490014283 0.5178736941274172 -0.19024588490014283
0.06 0.4947612712330182 -0.18835290671684976 0.4947612712330182 -0.18835290671684976
0.07 0.4752513420468475 -0.18647876398118968 0.4752513420468475 -0.18647876398118968
0.08 0.45837894477336055 -0.18462326927732717 0.45837894477336055 -0.18462326927732717
0.09 0.4435186384504175 -0.18278623705424565 0.4435186384504175 -0.18278623705424565
0.1 0.43024374807769494 -0.18096748360719192 0.43024374807769494 -0.18096748360719192
0.11 0.4182504337634504 -0.17916682705930564 0.4182504337634504 -0.17916682705930564
0.12 0.4073145361054872 -0.1773840873434315 0.4073145361054872 -0.1773840873434315
0.13 0.3972658204346686 -0.17561908618411226 0.3972658204346686 -0.17561908618411226
0.14 0.3879718855754371 -0.1738716470797612 0.3879718855754371 -0.1738716470797612
0.15 0.3793276887350781 -0.17214159528501158 0.3793276887350781 -0.17214159528501158
0.16 0.3712484784053614 -0.1704287577932423 0.3712484784053614 -0.1704287577932423
0.17 0.363664879018408 -0.16873296331927676 0.363664879018408 -0.16873296331927676
0.18 0.35651938261005506 -0.1670540422822544 0.35651938261005506 -0.1670540422822544
0.19 0.34976378877132186 -0.16539182678867248 0.34976378877132186 -0.16539182678867248
0.2 0.3433573005149456 -0.1637461506155964 0.3433573005149456 -0.1637461506155964
0.21 0.3372650840641091 -0.16211684919403743 0.3372650840641091 -0.16211684919403743
0.22 0.3314571631974112 -0.16050375959249572 0.3314571631974112 -0.16050375959249572
0.23 0.32590755901949164 -0.15890672050066681 0.32590755901949164 -0.15890672050066681
0.24 0.3205936125427892 -0.1573255722133107 0.3205936125427892 -0.1573255722133107
0.25 0.31549544533077434 -0.155760156614281 0.31549544533077434 -0.155760156614281
0.26 0.3105955257239659 -0.15421031716071326 0.3105955257239659 -0.15421031716071326
0.27 0.30587831674418786 -0.15267589886737065 0.30587831674418786 -0.15267589886737065
0.28 0.30132998785651305 -0.15115674829114512 0.30132998785651305 -0.15115674829114512
0.29 0.29693817714626364 -0.14965271351571305 0.29693817714626364 -0.14965271351571305
0.3 0.29269179365959613 -0.1481636441363436 0.29269179365959613 -0.1481636441363436
0.31 0.28858085201021216 -0.14668939124485786 0.28858085201021216 -0.14668939124485786
0.32 0.2845963331106127 -0.1452298074147382 0.2845963331106127 -0.1452298074147382
0.33 0.28073006620969443 -0.14378474668638525 0.28073006620969443 -0.14378474668638525
0.34 0.2769746284255882 -0.14235406455252195 0.2769746284255882 -0.14235406455252195
0.35 0.2733232587360646 -0.14093761794374268 0.2733232587360646 -0.14093761794374268
0.36 0.2697697839878473 -0.1395352652142062 0.2697697839878473 -0.1395352652142062
0.37 0.26630855495384037 -0.13814686612747093 0.26630855495384037 -0.13814686612747093
0.38 0.2629343908351352 -0.13677228184247117 0.2629343908351352 -0.13677228184247117
0.39 0.25964253089605965 -0.13541137489963292 0.25964253089605965 -0.13541137489963292
0.4 0.2564285921529089 -0.13406400920712788 0.2564285921529089 -0.13406400920712788
0.41 0.2532885322234549 -0.13273005002726387 0.2532885322234549 -0.13273005002726387
0.42 0.2502186165948568 -0.13140936396301137 0.2502186165948568 -0.13140936396301137
0.43 0.24721538968976806 -0.1301018189446633 0.24721538968976806 -0.1301018189446633
0.44 0.24427564921015169 -0.1288072842166283 0.24427564921015169 -0.1288072842166283
0.45 0.24139642332009603 -0.12752563032435468 0.24139642332009603 -0.12752563032435468
0.46 0.2385749502963254 -0.1262567291013852 0.2385749502963254 -0.1262567291013852
0.47 0.23580866033090275 -0.12500045365654017 0.23580866033090275 -0.12500045365654017
0.48 0.23309515921702906 -0.12375667836122817 0.23309515921702906 -0.12375667836122817
0.49 0.23043221368758698 -0.12252527883688323 0.23043221368758698 -0.12252527883688323
0.5 0.2278177382085656 -0.1213061319425267 0.2278177382085656 -0.1213061319425267
0.51 0.2252497830568365 -0.12009911576245319 0.2252497830568365 -0.12009911576245319
0.52 0.2227265235348428 -0.11890410959403888 0.2227265235348428 -0.11890410959403888
0.53 0.22024625019433164 -0.11772099393567104 0.22024625019433164 -0.11772099393567104
0.54 0.21780735995790587 -0.11654965047479793 0.21780735995790587 -0.11654965047479793
0.55 0.21540834804136763 -0.11538996207609734 0.21540834804136763 -0.11538996207609734
0.56 0.21304780059198292 -0.11424181276976297 0.21304780059198292 -0.11424181276976297
0.57 0.210724387968226 -0.11310508773990742 0.210724387968226 -0.11310508773990742
0.58 0.20843685859554598 -0.11197967331308041 0.20843685859554598 -0.11197967331308041
0.59 0.20618403334044957 -0.11086545694690142 0.20618403334044957 -0.11086545694690142
0.6 0.20396480035191003 -0.1097623272188053 0.20396480035191003 -0.1097623272188053
0.61 0.201778110324933 -0.10867017381489996 0.201778110324933 -0.10867017381489996
0.62 0.19962297214618432 -0.1075888875189349 0.19962297214618432 -0.1075888875189349
0.63 0.1974984488860035 -0.10651836020137945 0.1974984488860035 -0.10651836020137945
0.64 0.19540365410499333 -0.10545848480860971 0.19540365410499333 -0.10545848480860971
0.65 0.19333774844676657 -0.10440915535220321 0.19333774844676657 -0.10440915535220321
0.66 0.19129993649140403 -0.10337026689833984 0.19129993649140403 -0.10337026689833984
0.67 0.18928946384680134 -0.10234171555730849 0.18928946384680134 -0.10234171555730849
