time itr a b c d source HEOM_C_re HEOM_C_im RMRT_gdd_re RMRT_gdd_im diff_re diff_im abs_diff ratio_re ratio_im abs_ratio
1.2000000000e-01 7 1 1 1 1 fd_gprime 3.054859020791e-01 -1.330380655076e-01 1.908705857248e-01 -7.743568921238e-02 -1.146153163543e-01 5.560237629519e-02 1.273903253496e-01 6.179940161674e-01 1.565060502383e-02 6.181921590059e-01
1.2000000000e-01 7 2 2 2 2 fd_gprime 3.054859020791e-01 -1.330380655076e-01 1.908705857248e-01 -7.743568921238e-02 -1.146153163543e-01 5.560237629519e-02 1.273903253496e-01 6.179940161674e-01 1.565060502383e-02 6.181921590059e-01
1.2000000000e-01 7 1 1 2 2 fd_gprime 1.018286340264e-01 -4.434602183586e-02 6.362352857493e-02 -2.581189640413e-02 -3.820510545144e-02 1.853412543173e-02 4.246344178320e-02 6.179940161674e-01 1.565060502383e-02 6.181921590059e-01
1.2000000000e-01 7 2 2 1 1 fd_gprime 1.018286340264e-01 -4.434602183586e-02 6.362352857493e-02 -2.581189640413e-02 -3.820510545144e-02 1.853412543173e-02 4.246344178320e-02 6.179940161674e-01 1.565060502383e-02 6.181921590059e-01
1.2000000000e-01 7 1 2 2 1 direct_gddot 1.018286340264e-01 -4.434602183586e-02 6.345740334695e-02 -2.526884975774e-02 -3.837123067942e-02 1.907717207812e-02 4.285195256172e-02 6.146704543349e-01 1.953615160487e-02 6.149808360037e-01
1.2000000000e-01 7 1 2 1 2 direct_gddot 1.018286340264e-01 -4.434602183586e-02 6.345740334695e-02 -2.526884975774e-02 -3.837123067942e-02 1.907717207812e-02 4.285195256172e-02 6.146704543349e-01 1.953615160487e-02 6.149808360037e-01
1.4000000000e-01 8 1 1 1 1 fd_gprime 2.909789141816e-01 -1.304037353098e-01 1.890871307837e-01 -7.690558692353e-02 -1.018917833978e-01 5.349814838629e-02 1.150825243239e-01 6.397823598603e-01 2.242232089541e-02 6.401751545184e-01
1.4000000000e-01 8 2 2 2 2 fd_gprime 2.909789141816e-01 -1.304037353098e-01 1.890871307837e-01 -7.690558692353e-02 -1.018917833978e-01 5.349814838629e-02 1.150825243239e-01 6.397823598603e-01 2.242232089541e-02 6.401751545184e-01
1.4000000000e-01 8 1 1 2 2 fd_gprime 9.699297139386e-02 -4.346791176994e-02 6.302904359458e-02 -2.563519564118e-02 -3.396392779928e-02 1.783271612876e-02 3.836084144129e-02 6.397823598603e-01 2.242232089541e-02 6.401751545184e-01
1.4000000000e-01 8 2 2 1 1 fd_gprime 9.699297139386e-02 -4.346791176994e-02 6.302904359458e-02 -2.563519564118e-02 -3.396392779928e-02 1.783271612876e-02 3.836084144129e-02 6.397823598603e-01 2.242232089541e-02 6.401751545184e-01
1.4000000000e-01 8 1 2 2 1 direct_gddot 9.699297139386e-02 -4.346791176994e-02 6.330900004630e-02 -2.532547038276e-02 -3.368397134756e-02 1.814244138718e-02 3.825909179830e-02 6.409942375043e-01 2.615870553977e-02 6.415277783457e-01
1.4000000000e-01 8 1 2 1 2 direct_gddot 9.699297139386e-02 -4.346791176994e-02 6.330900004630e-02 -2.532547038276e-02 -3.368397134756e-02 1.814244138718e-02 3.825909179830e-02 6.409942375043e-01 2.615870553977e-02 6.415277783457e-01
1.6000000000e-01 9 1 1 1 1 fd_gprime 2.784363588040e-01 -1.278215683449e-01 1.836755840665e-01 -8.130038394482e-02 -9.476077473757e-02 4.652118440011e-02 1.055643170150e-01 6.555563737487e-01 8.956660318949e-03 6.556175569085e-01
1.6000000000e-01 9 2 2 2 2 fd_gprime 2.784363588040e-01 -1.278215683449e-01 1.836755840665e-01 -8.130038394482e-02 -9.476077473757e-02 4.652118440011e-02 1.055643170150e-01 6.555563737487e-01 8.956660318950e-03 6.556175569085e-01
1.6000000000e-01 9 1 1 2 2 fd_gprime 9.281211960134e-02 -4.260718944831e-02 6.122519468882e-02 -2.710012798161e-02 -3.158692491252e-02 1.550706146670e-02 3.518810567168e-02 6.555563737487e-01 8.956660318951e-03 6.556175569085e-01
1.6000000000e-01 9 2 2 1 1 fd_gprime 9.281211960134e-02 -4.260718944831e-02 6.122519468882e-02 -2.710012798161e-02 -3.158692491252e-02 1.550706146670e-02 3.518810567168e-02 6.555563737487e-01 8.956660318951e-03 6.556175569085e-01
1.6000000000e-01 9 1 2 2 1 direct_gddot 9.281211960134e-02 -4.260718944831e-02 6.156457537651e-02 -2.720347404298e-02 -3.124754422483e-02 1.540371540533e-02 3.483796016375e-02 6.589987301923e-01 9.423442803295e-03 6.590661026554e-01
1.6000000000e-01 9 1 2 1 2 direct_gddot 9.281211960134e-02 -4.260718944831e-02 6.156457537651e-02 -2.720347404298e-02 -3.124754422483e-02 1.540371540533e-02 3.483796016375e-02 6.589987301923e-01 9.423442803295e-03 6.590661026554e-01
1.8000000000e-01 10 1 1 1 1 fd_gprime 2.673895369575e-01 -1.252905317117e-01 1.733445327766e-01 -8.448261212462e-02 -9.404500418092e-02 4.080791958707e-02 1.025170674201e-01 6.529670614174e-01 -9.992993143301e-03 6.530435232112e-01
1.8000000000e-01 10 2 2 2 2 fd_gprime 2.673895369575e-01 -1.252905317117e-01 1.733445327766e-01 -8.448261212462e-02 -9.404500418092e-02 4.080791958707e-02 1.025170674201e-01 6.529670614174e-01 -9.992993143301e-03 6.530435232112e-01
1.8000000000e-01 10 1 1 2 2 fd_gprime 8.912984565251e-02 -4.176351057056e-02 5.778151092554e-02 -2.816087070821e-02 -3.134833472697e-02 1.360263986236e-02 3.417235580670e-02 6.529670614174e-01 -9.992993143302e-03 6.530435232112e-01
1.8000000000e-01 10 2 2 1 1 fd_gprime 8.912984565251e-02 -4.176351057056e-02 5.778151092554e-02 -2.816087070821e-02 -3.134833472697e-02 1.360263986236e-02 3.417235580670e-02 6.529670614174e-01 -9.992993143302e-03 6.530435232112e-01
1.8000000000e-01 10 1 2 2 1 direct_gddot 8.912984565251e-02 -4.176351057056e-02 5.785352374418e-02 -2.850078880498e-02 -3.127632190833e-02 1.326272176559e-02 3.397216655948e-02 6.550948466279e-01 -1.280971872835e-02 6.552200752208e-01
1.8000000000e-01 10 1 2 1 2 direct_gddot 8.912984565251e-02 -4.176351057056e-02 5.785352374418e-02 -2.850078880498e-02 -3.127632190833e-02 1.326272176559e-02 3.397216655948e-02 6.550948466279e-01 -1.280971872835e-02 6.552200752208e-01
2.0000000000e-01 11 1 1 1 1 fd_gprime 2.575179753862e-01 -1.228096129617e-01 1.618554402961e-01 -8.273122266663e-02 -9.566253509012e-02 4.007839029507e-02 1.037188410488e-01 6.368837104229e-01 -1.753578825406e-02 6.371250775724e-01
2.0000000000e-01 11 2 2 2 2 fd_gprime 2.575179753862e-01 -1.228096129617e-01 1.618554402961e-01 -8.273122266663e-02 -9.566253509012e-02 4.007839029507e-02 1.037188410488e-01 6.368837104229e-01 -1.753578825406e-02 6.371250775724e-01
2.0000000000e-01 11 1 1 2 2 fd_gprime 8.583932512874e-02 -4.093653765390e-02 5.395181343203e-02 -2.757707422221e-02 -3.188751169671e-02 1.335946343169e-02 3.457294701628e-02 6.368837104229e-01 -1.753578825406e-02 6.371250775724e-01
2.0000000000e-01 11 2 2 1 1 fd_gprime 8.583932512874e-02 -4.093653765390e-02 5.395181343203e-02 -2.757707422221e-02 -3.188751169671e-02 1.335946343169e-02 3.457294701628e-02 6.368837104229e-01 -1.753578825406e-02 6.371250775724e-01
2.0000000000e-01 11 1 2 2 1 direct_gddot 8.583932512874e-02 -4.093653765390e-02 5.371752393782e-02 -2.782891765512e-02 -3.212180119092e-02 1.310761999878e-02 3.469322432091e-02 6.357999589700e-01 -2.098651977632e-02 6.361462267738e-01
2.0000000000e-01 11 1 2 1 2 direct_gddot 8.583932512874e-02 -4.093653765390e-02 5.371752393782e-02 -2.782891765512e-02 -3.212180119092e-02 1.310761999878e-02 3.469322432091e-02 6.357999589700e-01 -2.098651977632e-02 6.361462267738e-01
2.2000000000e-01 12 1 1 1 1 fd_gprime 2.485928723981e-01 -1.203778196944e-01 1.537762115565e-01 -7.714625568418e-02 -9.481666084158e-02 4.323156401019e-02 1.042073284367e-01 6.228187734445e-01 -8.739951597366e-03 6.228800938454e-01
2.2000000000e-01 12 2 2 2 2 fd_gprime 2.485928723981e-01 -1.203778196944e-01 1.537762115565e-01 -7.714625568418e-02 -9.481666084158e-02 4.323156401019e-02 1.042073284367e-01 6.228187734445e-01 -8.739951597366e-03 6.228800938454e-01
2.2000000000e-01 12 1 1 2 2 fd_gprime 8.286429079935e-02 -4.012593989812e-02 5.125873718549e-02 -2.571541856139e-02 -3.160555361386e-02 1.441052133673e-02 3.473577614557e-02 6.228187734445e-01 -8.739951597365e-03 6.228800938454e-01
2.2000000000e-01 12 2 2 1 1 fd_gprime 8.286429079935e-02 -4.012593989812e-02 5.125873718549e-02 -2.571541856139e-02 -3.160555361386e-02 1.441052133673e-02 3.473577614557e-02 6.228187734445e-01 -8.739951597365e-03 6.228800938454e-01
2.2000000000e-01 12 1 2 2 1 direct_gddot 8.286429079935e-02 -4.012593989812e-02 5.093877376542e-02 -2.568686152475e-02 -3.192551703393e-02 1.443907837338e-02 3.503891582450e-02 6.195557340894e-01 -9.975411207432e-03 6.196360354852e-01
2.2000000000e-01 12 1 2 1 2 direct_gddot 8.286429079935e-02 -4.012593989812e-02 5.093877376542e-02 -2.568686152475e-02 -3.192551703393e-02 1.443907837338e-02 3.503891582450e-02 6.195557340894e-01 -9.975411207432e-03 6.196360354852e-01
2.4000000000e-01 13 1 1 1 1 fd_gprime 2.404452094071e-01 -1.179941791600e-01 1.505181211422e-01 -7.181963259809e-02 -8.992708826493e-02 4.617454656189e-02 1.010889210250e-01 6.226348394648e-01 6.852514154989e-03 6.226725465809e-01
2.4000000000e-01 13 2 2 2 2 fd_gprime 2.404452094071e-01 -1.179941791600e-01 1.505181211422e-01 -7.181963259809e-02 -8.992708826493e-02 4.617454656189e-02 1.010889210250e-01 6.226348394648e-01 6.852514154989e-03 6.226725465809e-01
2.4000000000e-01 13 1 1 2 2 fd_gprime 8.014840313570e-02 -3.933139305333e-02 5.017270704739e-02 -2.393987753270e-02 -2.997569608831e-02 1.539151552063e-02 3.369630700834e-02 6.226348394648e-01 6.852514154988e-03 6.226725465809e-01
2.4000000000e-01 13 2 2 1 1 fd_gprime 8.014840313570e-02 -3.933139305333e-02 5.017270704739e-02 -2.393987753270e-02 -2.997569608831e-02 1.539151552063e-02 3.369630700834e-02 6.226348394648e-01 6.852514154988e-03 6.226725465809e-01
2.4000000000e-01 13 1 2 2 1 direct_gddot 8.014840313570e-02 -3.933139305333e-02 5.002424019857e-02 -2.370027964448e-02 -3.012416293713e-02 1.563111340885e-02 3.393813340570e-02 6.199596625448e-01 8.529147101317e-03 6.200183299976e-01
