PHASE_TRACE itr t a b abs_c REAL_c IMAG_c REAL_rhs_diag IMAG_rhs_diag REAL_rhs_local_raw IMAG_rhs_local_raw REAL_rhs_local_app IMAG_rhs_local_app REAL_rhs_mem_core_app IMAG_rhs_mem_core_app REAL_rhs_L0Q_raw IMAG_rhs_L0Q_raw REAL_rhs_L0Q_app IMAG_rhs_L0Q_app REAL_rhs_total IMAG_rhs_total REAL_rhs_heom_fd IMAG_rhs_heom_fd omega_total omega_heom_fd omega_diag omega_local_raw omega_local_app omega_mem_core_app omega_L0Q_raw omega_L0Q_app omega_L0Q_A_raw omega_L0Q_B_raw growth_total growth_heom_fd growth_L0Q_raw growth_L0Q_app
PHASE_TRACE 18 1.7000000000e-01 1 2 +3.536008055686e-01 -3.435477790000e-01 -8.371650520000e-02 +1.470431496444e-01 -4.788683988247e-01 -1.017100702272e-18 -1.423138806713e-02 -1.017100702272e-18 -1.423138806713e-02 +1.626303258728e-19 +3.924010889562e-03 -3.103214313540e-02 +1.098012647534e-02 -3.103214313540e-02 +1.098012647534e-02 +1.160110065090e-01 -4.781956495269e-01 +1.159751730000e-01 -4.781130460000e-01 +1.391587438756e+00 +1.391336481158e+00 +1.414213562373e+00 +3.910280525816e-02 +3.910280525816e-02 -1.078178972576e-02 -5.094713914941e-02 -5.094713914941e-02 -4.741111975839e-02 -3.536019391013e-03 +1.419978744384e-03 +1.463129120620e-03 +7.791354895027e-02 +7.791354895027e-02 
PHASE_TRACE 19 1.8000000000e-01 1 2 +3.536058704134e-01 -3.423556950000e-01 -8.848553380000e-02 +1.549549413422e-01 -4.764574116755e-01 -1.434890317675e-18 -1.512102881690e-02 -1.434890317675e-18 -1.512102881690e-02 +5.963111948670e-19 +4.336882767686e-03 -3.251729544700e-02 +1.152245347601e-02 -3.251729544700e-02 +1.152245347601e-02 +1.224376458952e-01 -4.757191042487e-01 +1.224147010000e-01 -4.756327270000e-01 +1.389180402555e+00 +1.388927661318e+00 +1.414213562373e+00 +4.140187072352e-02 +4.140187072352e-02 -1.187452665192e-02 -5.456050388922e-02 -5.456050388922e-02 -5.090841270171e-02 -3.652091187506e-03 +1.415847834562e-03 +1.417544759451e-03 +8.087927421791e-02 +8.087927421791e-02 
PHASE_TRACE 20 1.9000000000e-01 1 2 +3.536107109317e-01 -3.410994850000e-01 -9.322915970000e-02 +1.627709370604e-01 -4.739351119100e-01 +0.000000000000e+00 -1.601659544374e-02 +0.000000000000e+00 -1.601659544374e-02 +9.757819552370e-19 +4.765893021117e-03 -3.396649233047e-02 +1.206151785430e-02 -3.396649233047e-02 +1.206151785430e-02 +1.288044447299e-01 -4.731242964783e-01 +1.287994580000e-01 -4.730334830000e-01 +1.386676601921e+00 +1.386425152746e+00 +1.414213562373e+00 +4.369185130494e-02 +4.369185130494e-02 -1.300093330979e-02 -5.822787844761e-02 -5.822787844761e-02 -5.446797877895e-02 -3.759899668658e-03 +1.390355786610e-03 +1.336249386072e-03 +8.366461225143e-02 +8.366461225143e-02 
PHASE_TRACE 21 2.0000000000e-01 1 2 +3.536151967740e-01 -3.397797060000e-01 -9.794620350000e-02 +1.704897994323e-01 -4.713044230187e-01 +5.088501182915e-19 -1.690141261983e-02 +5.088501182915e-19 -1.690141261983e-02 +2.710505431214e-19 +5.210214336318e-03 -3.537591922549e-02 +1.258258271778e-02 -3.537591922549e-02 +1.258258271778e-02 +1.351138802068e-01 -4.704130385844e-01 +1.351277500000e-01 -4.703172870000e-01 +1.384081607690e+00 +1.383832287254e+00 +1.414213562373e+00 +4.592599764387e-02 +4.592599764387e-02 -1.415765041160e-02 -6.190030191535e-02 -6.190030191535e-02 -5.804719854271e-02 -3.853103372642e-03 +1.329268913461e-03 +1.216578889128e-03 +8.627066048899e-02 +8.627066048899e-02 
PHASE_TRACE 22 2.1000000000e-01 1 2 +3.536191865836e-01 -3.383969300000e-01 -1.026355050000e-01 +1.781153819612e-01 -4.685667072493e-01 +0.000000000000e+00 -1.776106004553e-02 +0.000000000000e+00 -1.776106004553e-02 +8.673617379884e-19 +5.669055378106e-03 -3.674677708670e-02 +1.307166910156e-02 -3.674677708670e-02 +1.307166910156e-02 +1.413686048744e-01 -4.675870428152e-01 +1.413979220000e-01 -4.674861080000e-01 +1.381401460436e+00 +1.381152376724e+00 +1.414213562373e+00 +4.806441438438e-02 +4.806441438438e-02 -1.534141690658e-02 -6.553509941484e-02 -6.553509941484e-02 -6.160885773972e-02 -3.926241675119e-03 +1.218189612840e-03 +1.056007414315e-03 +8.871401127379e-02 +8.871401127379e-02 
PHASE_TRACE 23 2.2000000000e-01 1 2 +3.536225325719e-01 -3.369517470000e-01 -1.072959260000e-01 +1.856551164635e-01 -4.657218957777e-01 -1.018219793203e-18 -1.858646616826e-02 -1.018219793203e-18 -1.858646616826e-02 +4.878909776185e-19 +6.141722592659e-03 -3.808475378887e-02 +1.351862737759e-02 -3.808475378887e-02 +1.351862737759e-02 +1.475703626746e-01 -4.646480119758e-01 +1.476083630000e-01 -4.645419050000e-01 +1.378641989125e+00 +1.378388683003e+00 +1.414213562373e+00 +5.008234753917e-02 +5.008234753917e-02 -1.654923978502e-02 -6.910468100247e-02 -6.910468100247e-02 -6.512872278710e-02 -3.975958215373e-03 +1.045568613743e-03 +8.521313015724e-04 +9.102224078920e-02 +9.102224078920e-02 
PHASE_TRACE 24 2.3000000000e-01 1 2 +3.536250775968e-01 -3.354447630000e-01 -1.119263440000e-01 +1.931177277604e-01 -4.627689726014e-01 +0.000000000000e+00 -1.937550976698e-02 +0.000000000000e+00 -1.937550976698e-02 +4.878909776185e-19 +6.627656537706e-03 -3.939858561818e-02 +1.391907984969e-02 -3.939858561818e-02 +1.391907984969e-02 +1.537191421422e-01 -4.615977459810e-01 +1.537575030000e-01 -4.614866380000e-01 +1.375808166356e+00 +1.375544457309e+00 +1.414213562373e+00 +5.197422737653e-02 +5.197422737653e-02 -1.777849109557e-02 -7.260113229824e-02 -7.260113229824e-02 -6.859949716812e-02 -4.001635130124e-03 +8.050087320810e-04 +6.026599258816e-04 +9.322729032971e-02 +9.322729032971e-02 
PHASE_TRACE 25 2.4000000000e-01 1 2 +3.536266548164e-01 -3.338765970000e-01 -1.165256580000e-01 +2.005108796165e-01 -4.597066889575e-01 +0.000000000000e+00 -2.013290742129e-02 +0.000000000000e+00 -2.013290742129e-02 +6.505213034913e-19 +7.126437441617e-03 -4.069807737488e-02 +1.427492717089e-02 -4.069807737488e-02 +1.427492717089e-02 +1.598128022416e-01 -4.584382317663e-01 +1.598438110000e-01 -4.583222640000e-01 +1.372903657505e+00 +1.372622929006e+00 +1.414213562373e+00 +5.375297297947e-02 +5.375297297947e-02 -1.902691902482e-02 -7.603595882301e-02 -7.603595882301e-02 -7.203060988693e-02 -4.005348936078e-03 +4.962906091623e-04 +3.054391628089e-04 +9.535839746614e-02 +9.535839746614e-02 
PHASE_TRACE 26 2.5000000000e-01 1 2 +3.536270935594e-01 -3.322478860000e-01 -1.210927890000e-01 +2.078392688562e-01 -4.565343395908e-01 +0.000000000000e+00 -2.086855775096e-02 +0.000000000000e+00 -2.086855775096e-02 +5.421010862428e-20 +7.637761843648e-03 -4.199203202411e-02 +1.459343889806e-02 -4.199203202411e-02 +1.459343889806e-02 +1.658472368320e-01 -4.551716966000e-01 +1.658657990000e-01 -4.550507400000e-01 +1.369930686808e+00 +1.369627294674e+00 +1.414213562373e+00 +5.544515458505e-02 +5.544515458505e-02 -2.029258040534e-02 -7.943544974463e-02 -7.943544974463e-02 -7.544423306716e-02 -3.991216677475e-03 +1.248789593481e-04 -4.156534317887e-05 +9.743620120149e-02 +9.743620120149e-02 
PHASE_TRACE 27 2.6000000000e-01 1 2 +3.536262139948e-01 -3.305592810000e-01 -1.256266730000e-01 +2.151035546990e-01 -4.532523843152e-01 +0.000000000000e+00 -2.159483990364e-02 +0.000000000000e+00 -2.159483990364e-02 +1.029992063861e-18 +8.161398092601e-03 -4.328652840737e-02 +1.488524627496e-02 -4.328652840737e-02 +1.488524627496e-02 +1.718170262917e-01 -4.518005798513e-01 +1.718220170000e-01 -4.516740230000e-01 +1.366890259366e+00 +1.366560734523e+00 +1.414213562373e+00 +5.708347997536e-02 +5.708347997536e-02 -2.157371884527e-02 -8.283306413719e-02 -8.283306413719e-02 -7.886873499833e-02 -3.964329138858e-03 -2.999481700230e-04 -4.402794833795e-04 +9.946925721144e-02 +9.946925721144e-02 
PHASE_TRACE 28 2.7000000000e-01 1 2 +3.536238296615e-01 -3.288114460000e-01 -1.301262690000e-01 +2.223003251479e-01 -4.498627747671e-01 -4.898864702785e-18 -2.232355784370e-02 -4.898864702785e-18 -2.232355784370e-02 -1.626303258728e-19 +8.697132277749e-03 -4.458388540077e-02 +1.516176340791e-02 -4.458388540077e-02 +1.516176340791e-02 +1.777164397471e-01 -4.483274369251e-01 +1.777110570000e-01 -4.481940730000e-01 +1.363782688674e+00 +1.363426414476e+00 +1.414213562373e+00 +5.869853911783e-02 +5.869853911783e-02 -2.286861990337e-02 -8.626079291323e-02 -8.626079291323e-02 -8.233124969495e-02 -3.929543218282e-03 -7.678769890152e-04 -8.925012550003e-04 +1.014535554154e-01 +1.014535554154e-01 
PHASE_TRACE 29 2.8000000000e-01 1 2 +3.536197488275e-01 -3.270050600000e-01 -1.345905550000e-01 +2.294229882377e-01 -4.463689107488e-01 +1.938743440094e-18 -2.306324993083e-02 +1.938743440094e-18 -2.306324993083e-02 +3.794707603699e-19 +9.244717051228e-03 -4.588248764125e-02 +1.543264404171e-02 -4.588248764125e-02 +1.543264404171e-02 +1.835405005965e-01 -4.447547995867e-01 +1.835315470000e-01 -4.446128500000e-01 +1.360608310589e+00 +1.360227467142e+00 +1.414213562373e+00 +6.031175353755e-02 +6.031175353755e-02 -2.417547821709e-02 -8.974152710446e-02 -8.974152710446e-02 -8.585110731962e-02 -3.890419784846e-03 -1.270539779001e-03 -1.399908830474e-03 +1.033749315736e-01 +1.033749315736e-01 
PHASE_TRACE 30 2.9000000000e-01 1 2 +3.536137725684e-01 -3.251408150000e-01 -1.390185260000e-01 +2.364633257164e-01 -4.427752308914e-01 -5.104791242494e-19 -2.381744964489e-02 -5.104791242494e-19 -2.381744964489e-02 +2.168404344971e-19 +9.803833922747e-03 -4.717745777431e-02 +1.570382684365e-02 -4.717745777431e-02 +1.570382684365e-02 +1.892858679421e-01 -4.410850197699e-01 +1.892821580000e-01 -4.409323180000e-01 +1.357368202722e+00 +1.356967017139e+00 +1.414213562373e+00 +6.193104419103e-02 +6.193104419103e-02 -2.549230421241e-02 -9.328409962976e-02 -9.328409962976e-02 -8.943556195361e-02 -3.848537676149e-03 -1.803960417605e-03 -1.964082690639e-03 +1.052136125837e-01 +1.052136125837e-01 
PHASE_TRACE 31 3.0000000000e-01 1 2 +3.536056991301e-01 -3.232194170000e-01 -1.434092010000e-01 +2.434133102717e-01 -4.390865520439e-01 +0.000000000000e+00 -2.458422785008e-02 +0.000000000000e+00 -2.458422785008e-02 +6.505213034913e-19 +1.037407578258e-02 -4.846198322217e-02 +1.597655323130e-02 -4.846198322217e-02 +1.597655323130e-02 +1.949513270495e-01 -4.373201508801e-01 +1.949615980000e-01 -4.371544430000e-01 +1.354064726260e+00 +1.353648153089e+00 +1.414213562373e+00 +6.354999239854e-02 +6.354999239854e-02 -2.681688605985e-02 -9.688194245202e-02 -9.688194245202e-02 -9.307862855039e-02 -3.803313901634e-03 -2.369865528051e-03 -2.586471871529e-03 +1.069497048929e-01 +1.069497048929e-01 
