# RMRT reduced dynamics serialized by upper-triangular density-matrix entries
# diagonal entries: p_i = real(σ[i,i])
# off-diagonal entries for i<j: c_ij = σ[i,j], with real, imag, abs, phase
# derivative columns use prefix p -> prime: trp, dp, cp

---- RMRT reduced dynamics: serialized upper-triangular matrix [exciton basis] ----
          time              tr_re              tr_im                 p1                 p2             c12_re             c12_im            c12_abs          c12_phase             trp_re             trp_im                dp1                dp2            cp12_re            cp12_im           cp12_abs         cp12_phase
      0.000000     1.00000000e+00     0.00000000e+00     1.46446609e-01     8.53553391e-01    -3.53553391e-01     0.00000000e+00     3.53553391e-01     3.14159265e+00     0.00000000e+00     0.00000000e+00     0.00000000e+00     0.00000000e+00     0.00000000e+00    -5.00000000e-01     5.00000000e-01    -1.57079633e+00
      0.010000     1.00000000e+00     0.00000000e+00     1.46446609e-01     8.53553391e-01    -3.53518036e-01    -4.99983333e-03     3.53553391e-01    -3.12745052e+00     0.00000000e+00     0.00000000e+00    -2.36491940e-06     2.36491940e-06     7.07319703e-03    -4.99915672e-01     4.99965708e-01    -1.55664849e+00
      0.020000     1.00000000e+00     0.00000000e+00     1.46446589e-01     8.53553411e-01    -3.53411962e-01    -9.99805863e-03     3.53553357e-01    -3.11331010e+00    -8.67361738e-19     0.00000000e+00     5.07587087e-06    -5.07587087e-06     1.41343142e-02    -4.99663429e-01     4.99863302e-01    -1.54251620e+00
      0.030000     1.00000000e+00     0.00000000e+00     1.46446651e-01     8.53553349e-01    -3.53235306e-01    -1.49930902e-02     3.53553354e-01    -3.09917307e+00     0.00000000e+00     0.00000000e+00     3.06192596e-05    -3.06192596e-05     2.11728123e-02    -4.99245634e-01     4.99694397e-01    -1.52841212e+00
      0.040000     1.00000000e+00     0.00000000e+00     1.46446982e-01     8.53553018e-01    -3.52988311e-01    -1.99832820e-02     3.53553502e-01    -3.08504128e+00     1.73472348e-18     0.00000000e+00     7.98700175e-05    -7.98700175e-05     2.81807583e-02    -4.98665934e-01     4.99461579e-01    -1.51434407e+00
      0.050000     1.00000000e+00     0.00000000e+00     1.46447821e-01     8.53552179e-01    -3.52671297e-01    -2.49670272e-02     3.53553950e-01    -3.07091652e+00     0.00000000e+00     0.00000000e+00     1.55137463e-04    -1.55137463e-04     3.51535711e-02    -4.97928826e-01     4.99168197e-01    -1.50031368e+00
      0.060000     1.00000000e+00     0.00000000e+00     1.46449434e-01     8.53550566e-01    -3.52284629e-01    -2.99427664e-02     3.53554846e-01    -3.05680050e+00    -1.73472348e-18     0.00000000e+00     2.55529834e-04    -2.55529834e-04     4.20899364e-02    -4.97039152e-01     4.98818085e-01    -1.48631654e+00
      0.070000     1.00000000e+00     0.00000000e+00     1.46452073e-01     8.53547927e-01    -3.51828688e-01    -3.49089883e-02     3.53556308e-01    -3.04269480e+00     1.73472348e-18     0.00000000e+00     3.77704096e-04    -3.77704096e-04     4.89910606e-02    -4.96001645e-01     4.98415245e-01    -1.47234369e+00
      0.080000     1.00000000e+00     0.00000000e+00     1.46455960e-01     8.53544040e-01    -3.51303836e-01    -3.98642286e-02     3.53558400e-01    -3.02860091e+00     3.46944695e-18     0.00000000e+00     5.17080605e-04    -5.17080605e-04     5.58594521e-02    -4.94820573e-01     4.97963530e-01    -1.45838394e+00
      0.090000     1.00000000e+00     0.00000000e+00     1.46461268e-01     8.53538732e-01    -3.50710415e-01    -4.48070634e-02     3.53561124e-01    -3.01452021e+00     0.00000000e+00     0.00000000e+00     6.69230386e-04    -6.69230386e-04     6.26975263e-02    -4.93499548e-01     4.97466364e-01    -1.44442656e+00
      0.100000     1.00000000e+00     0.00000000e+00     1.46468128e-01     8.53531872e-01    -3.50048740e-01    -4.97361027e-02     3.53564422e-01    -3.00045398e+00    -3.46944695e-18     0.00000000e+00     8.31111362e-04    -8.31111362e-04     6.95063596e-02    -4.92041505e-01     4.96926530e-01    -1.43046367e+00
      0.110000     1.00000000e+00     0.00000000e+00     1.46476639e-01     8.53523361e-01    -3.49319114e-01    -5.46499838e-02     3.53568189e-01    -2.98640346e+00     0.00000000e+00     0.00000000e+00     1.00187480e-03    -1.00187480e-03     7.62848735e-02    -4.90448815e-01     4.96346070e-01    -1.41649181e+00
      0.120000     1.00000000e+00     0.00000000e+00     1.46486892e-01     8.53513108e-01    -3.48521853e-01    -5.95473656e-02     3.53572300e-01    -2.97236978e+00     0.00000000e+00     0.00000000e+00     1.18307281e-03    -1.18307281e-03     8.30296192e-02    -4.88723485e-01     4.95726298e-01    -1.40251231e+00
      0.130000     1.00000000e+00     0.00000000e+00     1.46498995e-01     8.53501005e-01    -3.47657307e-01    -6.44269261e-02     3.53576628e-01    -2.95835407e+00     0.00000000e+00     0.00000000e+00     1.37824480e-03    -1.37824480e-03     8.97351879e-02    -4.86867378e-01     4.95067922e-01    -1.38853049e+00
      0.140000     1.00000000e+00     0.00000000e+00     1.46513088e-01     8.53486912e-01    -3.46725878e-01    -6.92873617e-02     3.53581070e-01    -2.94435743e+00     0.00000000e+00     0.00000000e+00     1.59200939e-03    -1.59200939e-03     9.63951173e-02    -4.84882390e-01     4.94371268e-01    -1.37455389e+00
      0.150000     1.00000000e+00     0.00000000e+00     1.46529362e-01     8.53470638e-01    -3.45728035e-01    -7.41273882e-02     3.53585554e-01    -2.93038094e+00     0.00000000e+00     0.00000000e+00     1.82890355e-03    -1.82890355e-03     1.03003054e-01    -4.82770547e-01     4.93636537e-01    -1.36058996e+00
      0.160000     1.00000000e+00     0.00000000e+00     1.46548049e-01     8.53451951e-01    -3.44664310e-01    -7.89457425e-02     3.53590040e-01    -2.91642567e+00     0.00000000e+00     0.00000000e+00     2.09226462e-03    -2.09226462e-03     1.09553875e-01    -4.80534011e-01     4.92864066e-01    -1.34664387e+00
      0.170000     1.00000000e+00     0.00000000e+00     1.46569416e-01     8.53430584e-01    -3.43535283e-01    -8.37411846e-02     3.53594509e-01    -2.90249269e+00     0.00000000e+00     0.00000000e+00     2.38343265e-03    -2.38343265e-03     1.16044486e-01    -4.78175011e-01     4.92054534e-01    -1.33271693e+00
      0.180000     1.00000000e+00     0.00000000e+00     1.46593743e-01     8.53406257e-01    -3.42341568e-01    -8.85124976e-02     3.53598941e-01    -2.88858303e+00     0.00000000e+00     0.00000000e+00     2.70146491e-03    -2.70146491e-03     1.22474110e-01    -4.75695740e-01     4.91209064e-01    -1.31880598e+00
      0.190000     1.00000000e+00     0.00000000e+00     1.46621300e-01     8.53378700e-01    -3.41083784e-01    -9.32584874e-02     3.53603299e-01    -2.87469770e+00     0.00000000e+00     0.00000000e+00     3.04342391e-03    -3.04342391e-03     1.28843994e-01    -4.73098257e-01     4.90329211e-01    -1.30490396e+00
      0.200000     1.00000000e+00     0.00000000e+00     1.46652328e-01     8.53347672e-01    -3.39762538e-01    -9.79779808e-02     3.53607504e-01    -2.86083765e+00     0.00000000e+00     0.00000000e+00     3.40515737e-03    -3.40515737e-03     1.35156632e-01    -4.70384446e-01     4.89416839e-01    -1.29100143e+00
      0.210000     1.00000000e+00     0.00000000e+00     1.46687025e-01     8.53312975e-01    -3.38378413e-01    -1.02669823e-01     3.53611429e-01    -2.84700379e+00     0.00000000e+00     0.00000000e+00     3.78236819e-03    -3.78236819e-03     1.41414688e-01    -4.67556031e-01     4.88473905e-01    -1.27708871e+00
