# RMRT reduced dynamics serialized by upper-triangular density-matrix entries
# diagonal entries: p_i = real(σ[i,i])
# off-diagonal entries for i<j: c_ij = σ[i,j], with real, imag, abs, phase
# derivative columns use prefix p -> prime: trp, dp, cp

---- RMRT reduced dynamics: serialized upper-triangular matrix [exciton basis] ----
          time              tr_re              tr_im                 p1                 p2             c12_re             c12_im            c12_abs          c12_phase             trp_re             trp_im                dp1                dp2            cp12_re            cp12_im           cp12_abs         cp12_phase
      0.000000     1.00000000e+00     0.00000000e+00     1.46446609e-01     8.53553391e-01    -3.53553391e-01     0.00000000e+00     3.53553391e-01     3.14159265e+00     0.00000000e+00     0.00000000e+00     0.00000000e+00     0.00000000e+00     0.00000000e+00    -5.00000000e-01     5.00000000e-01    -1.57079633e+00
      0.010000     1.00000000e+00     0.00000000e+00     1.46446609e-01     8.53553391e-01    -3.53518036e-01    -4.99983333e-03     3.53553391e-01    -3.12745052e+00    -8.67361738e-19     0.00000000e+00    -6.07580370e-06     6.07580370e-06     7.07690791e-03    -4.99864221e-01     4.99914314e-01    -1.55663961e+00
      0.020000     1.00000000e+00     0.00000000e+00     1.46446557e-01     8.53553443e-01    -3.53411935e-01    -9.99714704e-03     3.53553304e-01    -3.11331268e+00     0.00000000e+00     0.00000000e+00     1.23799775e-05    -1.23799775e-05     1.41257210e-02    -4.99458775e-01     4.99658487e-01    -1.54252181e+00
      0.030000     1.00000000e+00     0.00000000e+00     1.46446709e-01     8.53553291e-01    -3.53235400e-01    -1.49894784e-02     3.53553295e-01    -3.09918328e+00     0.00000000e+00     0.00000000e+00     7.61140681e-05    -7.61140681e-05     2.11222096e-02    -4.98789678e-01     4.99236708e-01    -1.52847469e+00
      0.040000     1.00000000e+00     0.00000000e+00     1.46447531e-01     8.53552469e-01    -3.52988983e-01    -1.99742144e-02     3.53553662e-01    -3.08506699e+00    -3.46944695e-18     0.00000000e+00     1.99113688e-04    -1.99113688e-04     2.80486912e-02    -4.97866221e-01     4.98655696e-01    -1.51451801e+00
      0.050000     1.00000000e+00     0.00000000e+00     1.46449624e-01     8.53550376e-01    -3.52673412e-01    -2.49488430e-02     3.53554777e-01    -3.07096825e+00     0.00000000e+00     0.00000000e+00     3.87091664e-04    -3.87091664e-04     3.48959005e-02    -4.96699845e-01     4.97924151e-01    -1.50065607e+00
      0.060000     1.00000000e+00     0.00000000e+00     1.46453646e-01     8.53546354e-01    -3.52289506e-01    -2.99109712e-02     3.53557014e-01    -3.05689128e+00     0.00000000e+00     0.00000000e+00     6.37725695e-04    -6.37725695e-04     4.16627754e-02    -4.95302877e-01     4.97052036e-01    -1.48687812e+00
      0.070000     1.00000000e+00     0.00000000e+00     1.46460231e-01     8.53539769e-01    -3.51838089e-01    -3.48583298e-02     3.53560665e-01    -3.04284001e+00    -6.93889390e-18     0.00000000e+00     9.42543440e-04    -9.42543440e-04     4.83545793e-02    -4.93687357e-01     4.96049768e-01    -1.47316199e+00
      0.080000     1.00000000e+00     0.00000000e+00     1.46469927e-01     8.53530073e-01    -3.51319935e-01    -3.97887677e-02     3.53565896e-01    -3.02881811e+00     0.00000000e+00     0.00000000e+00     1.28997180e-03    -1.28997180e-03     5.49798431e-02    -4.91864163e-01     4.94927407e-01    -1.45947989e+00
      0.090000     1.00000000e+00     0.00000000e+00     1.46483165e-01     8.53516835e-01    -3.50735728e-01    -4.47002378e-02     3.53572711e-01    -3.01482898e+00     0.00000000e+00     0.00000000e+00     1.66881456e-03    -1.66881456e-03     6.15468679e-02    -4.89842537e-01     4.93693962e-01    -1.44580510e+00
